Date,Democrats,Republicans,ElecYear,ElecDay,DaysTilED,DemVote,RepVote
7/4/1945,44,31,1946,11/5/1946,489,45,53
7/19/1945,38,31,1946,11/5/1946,474,45,53
10/23/1945,36,51,1946,11/5/1946,378,45,53
11/28/1945,40,34,1946,11/5/1946,342,45,53
1/10/1946,40,34,1946,11/5/1946,299,45,53
1/30/1946,40,33,1946,11/5/1946,279,45,53
1/30/1946,50,39,1946,11/5/1946,279,45,53
3/5/1946,37,37,1946,11/5/1946,245,45,53
4/17/1946,37,32,1946,11/5/1946,202,45,53
5/1/1946,37,34,1946,11/5/1946,188,45,53
5/22/1946,35,34,1946,11/5/1946,167,45,53
6/6/1946,39,35,1946,11/5/1946,152,45,53
6/19/1946,38,35,1946,11/5/1946,139,45,53
7/3/1946,38,38,1946,11/5/1946,125,45,53
8/21/1946,38,34,1946,11/5/1946,76,45,53
9/4/1946,42,37,1946,11/5/1946,62,45,53
10/2/1946,36,42,1946,11/5/1946,34,45,53
10/10/1946,33,45,1946,11/5/1946,26,45,53
10/17/1946,38,45,1946,11/5/1946,19,45,53
10/28/1946,39,45,1946,11/5/1946,8,45,53
10/31/1946,34,52,1946,11/5/1946,5,45,53
9/28/1948,42,39,1948,11/2/1948,35,52.6,45.4
10/12/1948,45,37,1948,11/2/1948,21,52.6,45.4
10/21/1948,23,35,1948,11/2/1948,12,52.6,45.4
7/8/1949,42,32,1950,11/7/1950,487,49.6,48.9
8/19/1949,43,31,1950,11/7/1950,445,49.6,48.9
10/2/1949,44,34,1950,11/7/1950,401,49.6,48.9
1/13/1950,41,35,1950,11/7/1950,298,49.6,48.9
2/1/1950,39,30,1950,11/7/1950,279,49.6,48.9
2/10/1950,45,23,1950,11/7/1950,270,49.6,48.9
5/9/1950,47,31,1950,11/7/1950,182,49.6,48.9
5/9/1950,54,36,1950,11/7/1950,182,49.6,48.9
6/9/1950,51,42,1950,11/7/1950,151,49.6,48.9
6/9/1950,46,38,1950,11/7/1950,151,49.6,48.9
7/4/1950,56,34,1950,11/7/1950,126,49.6,48.9
7/4/1950,49,30,1950,11/7/1950,126,49.6,48.9
7/14/1950,44,40,1950,11/7/1950,116,49.6,48.9
7/14/1950,49,43,1950,11/7/1950,116,49.6,48.9
9/22/1950,45,39,1950,11/7/1950,46,49.6,48.9
9/22/1950,49,43,1950,11/7/1950,46,49.6,48.9
10/6/1950,46,37,1950,11/7/1950,32,49.6,48.9
10/6/1950,52,41,1950,11/7/1950,32,49.6,48.9
10/13/1950,58,32,1950,11/7/1950,25,49.6,48.9
10/13/1950,53,31,1950,11/7/1950,25,49.6,48.9
10/25/1950,45,39,1950,11/7/1950,13,49.6,48.9
10/25/1950,53,42,1950,11/7/1950,13,49.6,48.9
10/27/1950,46,45,1950,11/7/1950,11,49.6,48.9
10/27/1950,40,42,1950,11/7/1950,11,49.6,48.9
9/26/1951,44,45,1952,11/4/1952,405,49.8,49.3
9/26/1951,38,41,1952,11/4/1952,405,49.8,49.3
10/19/1951,46,45,1952,11/4/1952,382,49.8,49.3
10/19/1951,40,41,1952,11/4/1952,382,49.8,49.3
11/16/1951,39,40,1952,11/4/1952,354,49.8,49.3
11/16/1951,45,45,1952,11/4/1952,354,49.8,49.3
12/14/1951,46,45,1952,11/4/1952,326,49.8,49.3
12/14/1951,41,43,1952,11/4/1952,326,49.8,49.3
1/11/1952,38,44,1952,11/4/1952,298,49.8,49.3
1/11/1952,44,49,1952,11/4/1952,298,49.8,49.3
2/14/1952,38,47,1952,11/4/1952,264,49.8,49.3
2/14/1952,42,51,1952,11/4/1952,264,49.8,49.3
3/19/1952,38,46,1952,11/4/1952,230,49.8,49.3
3/19/1952,43,50,1952,11/4/1952,230,49.8,49.3
4/1/1952,45,47,1952,11/4/1952,217,49.8,49.3
4/1/1952,41,43,1952,11/4/1952,217,49.8,49.3
4/18/1952,42,45,1952,11/4/1952,200,49.8,49.3
4/18/1952,45,48,1952,11/4/1952,200,49.8,49.3
5/2/1952,49,41,1952,11/4/1952,186,49.8,49.3
5/2/1952,44,37,1952,11/4/1952,186,49.8,49.3
5/16/1952,45,48,1952,11/4/1952,172,49.8,49.3
5/16/1952,41,44,1952,11/4/1952,172,49.8,49.3
6/4/1952,48,47,1952,11/4/1952,153,49.8,49.3
6/4/1952,45,44,1952,11/4/1952,153,49.8,49.3
6/20/1952,41,46,1952,11/4/1952,137,49.8,49.3
6/20/1952,45,49,1952,11/4/1952,137,49.8,49.3
7/18/1952,44,49,1952,11/4/1952,109,49.8,49.3
7/18/1952,40,45,1952,11/4/1952,109,49.8,49.3
8/15/1952,41,43,1952,11/4/1952,81,49.8,49.3
8/15/1952,46,40,1952,11/4/1952,81,49.8,49.3
9/5/1952,40,46,1952,11/4/1952,60,49.8,49.3
9/5/1952,44,50,1952,11/4/1952,60,49.8,49.3
9/11/1952,49,45,1952,11/4/1952,54,49.8,49.3
9/11/1952,44,41,1952,11/4/1952,54,49.8,49.3
9/16/1952,45,48,1952,11/4/1952,49,49.8,49.3
9/16/1952,41,44,1952,11/4/1952,49,49.8,49.3
10/8/1952,45,38,1952,11/4/1952,27,49.8,49.3
10/10/1952,47,36,1952,11/4/1952,25,49.8,49.3
10/14/1952,44,36,1952,11/4/1952,21,49.8,49.3
10/22/1952,47,37,1952,11/4/1952,13,49.8,49.3
4/2/1953,44,47,1954,11/2/1954,579,52.5,47
4/2/1953,40,43,1954,11/2/1954,579,52.5,47
5/14/1953,44,48,1954,11/2/1954,537,52.5,47
5/14/1953,41,44,1954,11/2/1954,537,52.5,47
6/4/1953,49,42,1954,11/2/1954,516,52.5,47
6/4/1953,45,38,1954,11/2/1954,516,52.5,47
7/30/1953,43,41,1954,11/2/1954,460,52.5,47
7/30/1953,47,45,1954,11/2/1954,460,52.5,47
8/20/1953,45,42,1954,11/2/1954,439,52.5,47
8/20/1953,48,46,1954,11/2/1954,439,52.5,47
9/17/1953,51,39,1954,11/2/1954,411,52.5,47
9/17/1953,47,34,1954,11/2/1954,411,52.5,47
10/14/1953,52,42,1954,11/2/1954,384,52.5,47
10/14/1953,48,38,1954,11/2/1954,384,52.5,47
11/5/1953,48,38,1954,11/2/1954,362,52.5,47
11/5/1953,51,42,1954,11/2/1954,362,52.5,47
